CNPJ;Empresa;Faturamento_2026;Nivel;Detalhes_Ocultos
32.392.238/0001-04;EDITORA RESPEL LTDA;R$ 23,379,652.00;🔴 RISCO MÁXIMO;PROIBIDA (CGU): FRAUDE EM LICITAÇÃO - SUPERFATURAMENTO | ⚠️ ALERTA ALTO: EPP estourando o teto do Simples Nacional em licitação!
13.741.966/0001-21;W L COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;R$ 6,295,620.77;🟠 RISCO ALTO;CNAE SUSPEITO: COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS | ⚠️ ALERTA ALTO: EPP estourando o teto do Simples Nacional em licitação!
30.105.562/0001-60;LOAH SERVICOS EMPRESARIAL LTDA;R$ 7,572,220.00;🟡 ATENÇÃO;🚨 ALERTA CRÍTICO: Microempresa (ME) recebendo contratos milionários!
